Date,Price
2001,26.66
2001.25,27.89
2001.5,24.69
2001.75,20.37
2002,19.18
2002.25,26.47
2002.5,25.44
2002.75,25.72
2003,31.1
2003.25,23.68
2003.5,28.37
2003.75,27.7
2004,29.18
2004.25,34.48
2004.5,40.03
2004.75,48.98
2005,45.92
2005.25,51.09
2005.5,59.37
2005.75,58.1
2006,65.99
2006.25,72.02
2006.5,75.15
2006.75,59.03
2007,57.4
2007.25,67.65
2007.5,77.05
2007.75,90.63
2008,92.21
2008.25,111.36
2008.5,123.98
2008.75,65.32
2009,45.88
2009.25,50.8
2009.5,71.7
2009.75,75.2
2010,71.46
2010.25,87.44
2010.5,78.18
2010.75,83.15
2011,101.01
2011.25,125.89
2011.5,116.74
2011.75,109.56
2012,110.98
2012.25,119.47
2012.5,104.92
2012.75,108.7
2013,115.55
2013.25,102.37
2013.5,107.7
2013.75,108.84
2014,106.4
2014.25,108.07
2014.5,106.02
2014.75,85.86
2015,52.99
2015.25,66.78
2015.5,52.21
2015.75,49.56
2016,34.74
2016.25,48.13
2016.5,42.46
2016.75,48.3
2017,55.7
2017.25,51.73
2017.5,52.65
2017.75,61.37
2018,69.05
2018.25,75.17
2018.5,74.25
2018.75,75.47
2019,61.89
2019.25,72.8
2019.5,65.17
2019.75,60.23
