DATE,Quarter,POILWTIUSDQ,Saudi Production Change,WTI Production Change,y-o-y % OECD Consumption Change,non-OPEC Production change,WTI Real Price (GDP Deflated),non-OECD Consumption Growth,non-OECD GDP growth,Ecuador,Iraq,"Venezuela, RB",Saudi Arabia,Russian Federation,WTI Futures Price,Brent Futures Price,Dates
2001.00,1.00,28.78,0.58,-0.38,1.5,0.69,34.89,1.99,4.52,47000000000,98000000000,3.59E+11,3.85E+11,9.50E+11,28.66,26.66,2001
2001.00,2.00,27.85,-0.18,-3.45,0.23,0.43,33.65,4.26,4.27,47500000000,99000000000,3.23E+11,3.81E+11,9.69E+11,28.46,27.89,2001.25
2001.00,3.00,26.49,-0.68,-15.49,-0.66,0.59,32.08,0.63,3.67,48000000000,1.00E+11,3.07E+11,3.77E+11,9.88E+11,26.35,24.69,2001.5
2001.00,4.00,20.36,-1.19,-36.16,-0.89,0.64,24.5,2.58,3.58,48300000000,1.04E+11,2.99E+11,3.75E+11,1.00E+12,21.18,20.37,2001.75
2002.00,1.00,21.6,-1.17,-24.76,-1.53,0.83,25.83,1.81,3.78,48500000000,1.01E+11,2.90E+11,3.72E+11,1.01E+12,19.48,19.18,2002
2002.00,2.00,26.26,-0.53,-5.93,-0.56,1.6,31.23,2.11,4.26,48900000000,99900000000,2.81E+11,3.69E+11,1.02E+12,27.29,26.47,2002.25
2002.00,3.00,28.32,-0.27,5.97,0.04,0.74,33.5,3.48,5.01,49500000000,98900000000,2.73E+11,3.66E+11,1.04E+12,27.02,25.44,2002.5
2002.00,4.00,28.28,0.37,38.09,1.73,0.75,33.27,3.43,5.09,50300000000,96800000000,2.72E+11,3.64E+11,1.05E+12,27.22,25.72,2002.75
2003.00,1.00,34.03,1.62,57.3,2.53,1.15,39.87,2.98,5.37,50900000000,87100000000,2.69E+11,3.75E+11,1.06E+12,33.51,31.1,2003
2003.00,2.00,29.08,1.69,10.32,1.77,0.32,33.85,1.1,5.23,51100000000,78400000000,2.61E+11,3.86E+11,1.08E+12,25.8,23.68,2003.25
2003.00,3.00,30.25,0.75,6.8,0.65,1.27,35.11,3.99,6.18,51300000000,70500000000,2.53E+11,3.98E+11,1.09E+12,30.54,28.37,2003.5
2004.00,4.00,31.17,0.52,10.32,0.83,1.51,36.02,4.11,7.45,51700000000,64700000000,2.51E+11,4.05E+11,1.12E+12,29.11,27.7,2003.75
2004.00,1.00,35.19,-0.3,3.78,1.1,0.98,40.5,6.23,8.62,52700000000,71200000000,2.61E+11,4.14E+11,1.13E+12,33.05,29.18,2004
2004.00,2.00,38.35,-0.36,32.21,1.58,1.48,43.57,9.73,9.15,53800000000,78300000000,2.71E+11,4.24E+11,1.14E+12,37.38,34.48,2004.25
2004.00,3.00,43.83,0.98,45.06,2.14,0.69,49.54,7.49,8.57,54800000000,86200000000,2.82E+11,4.34E+11,1.15E+12,43.8,40.03,2004.5
2005.00,4.00,48.35,0.97,54.39,1.78,0.38,53.98,6.88,7.75,55900000000,99800000000,2.97E+11,4.37E+11,1.20E+12,51.76,48.98,2004.75
2005.00,1.00,49.64,0.9,41.24,1.53,0.13,55.52,5.07,7.32,56500000000,1.01E+11,3.06E+11,4.44E+11,1.21E+12,48.2,45.92,2005
2005.00,2.00,53.09,0.8,38.61,1.28,0.56,58.68,2.93,7.36,57000000000,1.02E+11,3.15E+11,4.50E+11,1.22E+12,49.72,51.09,2005.25
2005.00,3.00,63.09,0.1,44.41,0.55,-0.32,69.31,2.76,7.08,57600000000,1.03E+11,3.25E+11,4.57E+11,1.24E+12,60.57,59.37,2005.5
2006.00,4.00,60.01,0,24.61,-0.47,-0.75,65.15,-0.29,7.75,58900000000,1.04E+11,3.28E+11,4.62E+11,1.28E+12,59.76,58.1,2005.75
2006.00,1.00,63.21,-0.09,26.86,-0.38,-0.16,68.28,2.52,8.2,59500000000,1.07E+11,3.38E+11,4.66E+11,1.30E+12,67.92,65.99,2006
2006.00,2.00,70.47,-0.38,32.68,-0.51,-0.45,75.37,2.96,7.99,60100000000,1.09E+11,3.48E+11,4.69E+11,1.31E+12,71.88,72.02,2006.25
2006.00,3.00,70.49,-0.4,11.42,-0.28,1.19,74.91,4.3,8.24,60700000000,1.12E+11,3.58E+11,4.73E+11,1.33E+12,74.4,75.15,2006.5
2007.00,4.00,59.97,-0.72,-0.1,-0.16,1.07,63.4,5.94,8.34,61500000000,1.15E+11,3.60E+11,4.74E+11,1.39E+12,58.73,59.03,2006.75
2007.00,1.00,58.21,-0.76,-8.25,-1.4,0.63,60.82,4.63,8.47,61800000000,1.15E+11,3.69E+11,4.76E+11,1.41E+12,58.14,57.4,2007
2007.00,2.00,64.98,-0.62,-7.8,0.31,0.64,67.62,4.55,8.84,62100000000,1.15E+11,3.78E+11,4.79E+11,1.43E+12,65.71,67.65,2007.25
2007.00,3.00,75.34,-0.54,6.64,-0.07,-0.13,77.97,3.58,8.57,62400000000,1.15E+11,3.88E+11,4.81E+11,1.45E+12,78.21,77.05,2007.5
2008.00,4.00,90.86,0.18,51.15,0.24,0.14,93.46,4.79,8.53,62800000000,1.16E+11,3.92E+11,4.83E+11,1.50E+12,94.53,90.63,2007.75
