DATE,POILBREUSDQ
2001,25.81666667
2001.25,27.24
2001.5,25.25
2001.75,19.34
2002,21.15333333
2002.25,25.07
2002.5,26.91333333
2002.75,26.85666667
2003,31.40613906
2003.25,26.13478355
2003.5,28.44071899
2003.75,29.39791304
2004,31.9362556
2004.25,35.43213564
2004.5,41.59484848
2004.75,44.16052105
2005,47.6379648
2005.25,51.61041126
2005.5,61.56203432
2005.75,56.92352092
2006,61.84625889
2006.25,69.8523946
2006.5,70.09437543
2006.75,59.71212843
2007,58.15201647
2007.25,68.76614217
2007.5,75.04348551
2007.75,88.96298952
2008,96.64931677
2008.25,122.2439177
2008.5,115.6047174
2008.75,55.77905072
2009,44.93356061
2009.25,59.18047619
2009.5,68.36734488
2009.75,74.97691919
2010,76.66638785
2010.25,78.67259019
2010.5,76.40515152
2010.75,86.79487233
2011,104.8970221
2011.25,117.1221284
2011.5,112.9963583
2011.75,109.3143795
2012,118.5415512
2012.25,108.9005797
2012.5,109.9544697
2012.75,110.4417655
2013,112.8745652
2013.25,103.004137
2013.5,110.1008385
2013.75,109.3964778
2014,107.929383
2014.25,109.806645
2014.5,102.080596
2014.75,75.95686957
2015,54.04622727
2015.25,62.09896104
2015.5,50.03149445
2015.75,43.42099097
2016,34.35772257
2016.25,45.95284271
2016.5,45.80131219
2016.75,50.07821789
2017,54.11816271
2017.25,50.27630501
2017.5,51.74080745
2017.75,61.46836219
2018,66.95132543
2018.25,74.48866805
2018.5,75.47547431
2018.75,67.36929356
2019,63.27252036
2019.25,68.33977997
2019.5,61.85909091
2019.75,62.65627706
