Date,non-OPEC Production change,WTI Real Price (GDP Deflated)
2001,0.69,34.89
2001.25,0.43,33.65
2001.5,0.59,32.08
2001.75,0.64,24.5
2002,0.83,25.83
2002.25,1.6,31.23
2002.5,0.74,33.5
2002.75,0.75,33.27
2003,1.15,39.87
2003.25,0.32,33.85
2003.5,1.27,35.11
2003.75,1.51,36.02
2004,0.98,40.5
2004.25,1.48,43.57
2004.5,0.69,49.54
2004.75,0.38,53.98
2005,0.13,55.52
2005.25,0.56,58.68
2005.5,-0.32,69.31
2005.75,-0.75,65.15
2006,-0.16,68.28
2006.25,-0.45,75.37
2006.5,1.19,74.91
2006.75,1.07,63.4
2007,0.63,60.82
2007.25,0.64,67.62
2007.5,-0.13,77.97
2007.75,0.14,93.46
2008,0.02,100.51
2008.25,-0.03,126.64
2008.5,-0.12,120.11
2008.75,-0.01,59.43
2009,0.32,43.66
2009.25,0.61,60.39
2009.5,1.42,68.94
2009.75,1.43,76.67
2010,1.86,79.32
2010.25,2.13,77.98
2010.5,1.75,75.95
2010.75,1.81,84.63
2011,0.98,92.94
2011.25,0.22,100.08
2011.5,0.39,87.3
2011.75,0.39,91.64
2012,0.79,99.65
2012.25,0.57,89.94
2012.5,0.36,88.32
2012.75,1.1,83.97
2013,0.66,89.65
2013.25,1.67,89.11
2013.5,2.47,99.73
2013.75,2,91.37
2014,2.38,92.11
2014.25,2.67,95.93
2014.5,2.43,90.43
2014.75,2.84,67.61
2015,2.5,44.77
2015.25,1.69,53.12
2015.5,1.55,42.61
2015.75,0.56,38.39
2016,0.09,30.55
2016.25,-0.82,41.37
2016.5,-1.1,40.67
2016.75,-0.44,44.36
2017,-0.11,46.36
2017.25,0.73,43.09
2017.5,0.95,42.84
2017.75,0.91,48.86
2018,1.65,55.29
2018.25,2.49,59.36
2018.5,3.43,60.47
2018.75,3.5,51.5
2019,2.47,47.25
2019.25,2.14,51.36
2019.5,1.45,48.06
2019.75,1.65,48.33
